symbol,date,open,high,low,close,volume,change,changePercent,vwap
MSFT,2020-09-21,197.19,202.71,196.38,202.54,39839700,5.35,2.71,199.705
MSFT,2020-09-22,205.06,208.1,202.08,207.42,33517100,2.36,1.15,205.665
MSFT,2020-09-23,207.9,208.1,200.03,200.59,30803800,-7.31,-3.52,204.155
MSFT,2020-09-24,199.85,205.57,199.2,203.19,31202500,3.34,1.67,201.9525
MSFT,2020-09-25,203.55,209.04,202.54,207.82,29437312,4.27,2.1,205.7375
MSFT,2020-09-28,210.88,212.57,208.06,209.44,32004936,-1.44,-0.68285,210.2375
MSFT,2020-09-29,209.35,210.07,206.81,207.26,24464472,-2.09,-0.99833,208.3725
MSFT,2020-09-30,207.73,211.98,206.54,210.33,33829100,2.6,1.25,209.145
MSFT,2020-10-01,213.49,213.99,211.32,212.46,27158418,-1.03,-0.48246,212.815
MSFT,2020-10-02,208.0,210.99,205.54,206.19,33154800,-1.81,-0.87019,207.68
MSFT,2020-10-05,207.22,210.41,206.98,210.38,21331600,3.16,1.52,208.7475
MSFT,2020-10-06,208.82,210.18,204.82,205.91,28554300,-2.91,-1.39,207.4325
MSFT,2020-10-07,207.06,210.11,206.72,209.83,25681100,2.77,1.34,208.43
MSFT,2020-10-08,210.51,211.19,208.32,210.58,19925837,0.07,0.03325258,210.15
MSFT,2020-10-09,211.23,215.86,211.23,215.81,26458047,4.58,2.17,213.5325
MSFT,2020-10-12,218.79,223.86,216.81,221.4,40461400,2.61,1.19,220.215
MSFT,2020-10-13,222.72,225.21,220.43,222.86,28950843,0.14,0.0628592,222.805
MSFT,2020-10-14,223.0,224.22,219.13,220.86,23451713,-2.14,-0.95964,221.8025
MSFT,2020-10-15,217.1,220.36,216.01,219.66,22733100,2.56,1.18,218.2825
MSFT,2020-10-16,220.15,222.29,219.32,219.66,26057900,-0.49,-0.22258,220.355
MSFT,2020-10-19,220.42,222.3,213.72,214.22,27625841,-6.19,-2.81,217.665
MSFT,2020-10-20,215.8,217.37,213.09,214.65,22753511,-1.15,-0.5329,215.2275
MSFT,2020-10-21,213.12,216.92,213.12,214.8,22724906,1.68,0.78829,214.49
MSFT,2020-10-22,213.93,216.06,211.7,214.89,22351500,0.96,0.44874,214.145
MSFT,2020-10-23,215.03,216.28,213.16,216.23,18879608,1.2,0.55806,215.175
MSFT,2020-10-26,213.85,216.34,208.1,210.08,37111600,-3.77,-1.76,212.0925
MSFT,2020-10-27,211.59,214.67,210.33,213.25,36700325,1.66,0.78454,212.46
MSFT,2020-10-28,207.67,208.84,202.1,202.68,51195600,-4.99,-2.4,205.3225
MSFT,2020-10-29,204.07,207.36,203.37,204.72,31432600,0.65,0.31852,204.88
MSFT,2020-10-30,203.5,204.29,199.62,202.47,36980111,-1.03,-0.50614,202.47
MSFT,2020-11-02,204.29,205.28,200.12,202.33,30842200,-1.96,-0.95942,203.005
MSFT,2020-11-03,203.89,208.12,203.12,206.43,27512030,2.54,1.25,205.39
MSFT,2020-11-04,214.02,218.32,212.42,216.39,42311800,2.37,1.11,215.2875
MSFT,2020-11-05,222.04,224.12,221.15,223.29,36080137,1.25,0.56296,222.65
MSFT,2020-11-06,222.26,224.36,218.03,223.72,25231900,1.46,0.65689,222.0925
MSFT,2020-11-09,224.44,228.12,217.88,218.39,44395000,-6.05,-2.7,222.2075
MSFT,2020-11-10,214.5,216.5,209.72,211.01,44045120,-3.49,-1.63,212.9325
MSFT,2020-11-11,212.39,218.04,212.2,216.55,29440800,4.16,1.96,214.795
MSFT,2020-11-12,217.21,219.11,214.46,215.44,21616115,-1.77,-0.81488,216.555
MSFT,2020-11-13,216.36,217.42,214.16,216.51,18630307,0.15,0.0693289,216.1125
MSFT,2020-11-16,214.87,217.74,214.52,217.23,24953344,2.36,1.1,216.09
MSFT,2020-11-17,216.1,217.68,214.08,214.46,24154112,-1.64,-0.75891,215.58
MSFT,2020-11-18,213.65,215.17,210.93,211.08,28372800,-2.57,-1.2,212.7075
MSFT,2020-11-19,211.38,213.03,209.93,212.42,24792746,1.04,0.492,211.69
MSFT,2020-11-20,212.2,213.29,210.0,210.39,22843119,-1.81,-0.85297,211.47
MSFT,2020-11-23,210.95,212.29,208.16,210.11,25683507,-0.84,-0.3982,210.3775
MSFT,2020-11-24,209.59,214.25,208.86,213.86,33979731,4.27,2.04,211.64
MSFT,2020-11-25,215.11,215.29,212.46,213.87,21012900,-1.24,-0.57645,214.1825
MSFT,2020-11-27,214.85,216.27,214.04,215.23,14512213,0.38,0.17687,215.0975
MSFT,2020-11-30,214.1,214.76,210.84,214.07,33064800,-0.03,-0.01401214,213.4425
MSFT,2020-12-01,214.51,217.32,213.35,216.21,30931318,1.7,0.7925,215.3475
MSFT,2020-12-02,214.88,215.47,212.8,215.37,23724509,0.49,0.22803,214.63
MSFT,2020-12-03,214.61,216.38,213.65,214.24,25120922,-0.37,-0.17241,214.72
MSFT,2020-12-04,214.22,215.38,213.18,214.36,24666039,0.14,0.06535338,214.285
MSFT,2020-12-07,214.37,215.54,212.99,214.29,24620000,-0.08,-0.03731865,214.2975
MSFT,2020-12-08,213.97,216.95,212.89,216.01,23284100,2.04,0.9534,214.955
MSFT,2020-12-09,215.16,215.23,211.21,211.8,32440603,-3.36,-1.56,213.35
MSFT,2020-12-10,211.77,213.08,210.36,210.52,26733300,-1.25,-0.59026,211.4325
MSFT,2020-12-11,210.05,213.32,209.11,213.26,30979440,3.21,1.53,211.435
MSFT,2020-12-14,213.1,216.21,212.88,214.2,28798400,1.1,0.51619,214.0975
MSFT,2020-12-15,215.17,215.42,212.24,214.13,27018106,-1.03,-0.48334,214.24
MSFT,2020-12-16,214.75,220.11,214.72,219.28,35023300,4.53,2.11,217.215
MSFT,2020-12-17,219.87,220.89,217.92,219.42,32515800,-0.45,-0.20467,219.525
MSFT,2020-12-18,218.59,219.69,216.02,218.59,63354922,0.0,0.0,218.2225
MSFT,2020-12-21,217.55,224.0,217.28,222.59,37181900,5.04,2.32,220.355
MSFT,2020-12-22,222.69,225.63,221.85,223.94,22643397,1.25,0.56132,223.5275
MSFT,2020-12-23,223.11,223.56,220.8,221.02,18699638,-2.09,-0.93676,222.1225
MSFT,2020-12-24,221.42,223.61,221.2,222.75,10550600,1.33,0.60067,222.245
MSFT,2020-12-28,224.45,226.03,223.02,224.96,17933500,0.51,0.22722,224.615
MSFT,2020-12-29,226.31,227.18,223.58,224.15,17403213,-2.16,-0.95444,225.305
MSFT,2020-12-30,225.23,225.63,221.47,221.68,20272337,-3.55,-1.58,223.5025
MSFT,2020-12-31,221.7,223.0,219.68,222.42,20942132,0.72,0.32476,221.7
MSFT,2021-01-04,222.53,223.0,214.81,217.69,37130139,-4.84,-2.17,219.5075
MSFT,2021-01-05,217.26,218.52,215.7,217.9,23823000,0.64,0.29458,217.345
MSFT,2021-01-06,212.17,216.49,211.94,212.25,35930700,0.08,0.03770561,213.2125
MSFT,2021-01-07,214.04,219.34,213.71,218.29,27694500,4.25,1.99,216.345
MSFT,2021-01-08,218.68,220.58,217.03,219.62,22956206,0.94,0.42985,218.9775
MSFT,2021-01-11,218.47,218.91,216.73,217.49,23047029,-0.98,-0.44857,217.9
MSFT,2021-01-12,216.5,217.1,213.32,214.93,23249336,-1.57,-0.72517,215.4625
MSFT,2021-01-13,214.02,216.76,213.93,216.34,20087100,2.32,1.08,215.2625
MSFT,2021-01-14,215.91,217.46,212.74,213.02,29480800,-2.89,-1.34,214.7825
MSFT,2021-01-15,213.52,214.51,212.03,212.65,31746512,-0.87,-0.40746,213.1775
MSFT,2021-01-19,213.75,216.98,212.63,216.44,30480900,2.69,1.26,214.95
MSFT,2021-01-20,217.7,225.79,217.29,224.34,37777300,6.64,3.05,221.28
MSFT,2021-01-21,224.7,226.3,222.42,224.97,30749553,0.27,0.12016,224.5975
MSFT,2021-01-22,227.08,230.07,225.8,225.95,30172700,-1.13,-0.49762,227.225
MSFT,2021-01-25,229.12,229.78,224.22,229.53,33152100,0.41,0.17895,228.1625
MSFT,2021-01-26,231.86,234.18,230.08,232.33,49169601,0.47,0.20271,232.1125
MSFT,2021-01-27,238.0,240.44,230.14,232.9,69870638,-5.1,-2.14,235.37
MSFT,2021-01-28,235.61,242.64,235.09,238.93,49111200,3.32,1.41,238.0675
MSFT,2021-01-29,235.99,238.02,231.35,231.96,42503138,-4.03,-1.71,234.33
MSFT,2021-02-01,235.06,242.5,232.43,239.65,33314200,4.59,1.95,237.41
MSFT,2021-02-02,241.3,242.31,238.69,239.51,25916337,-1.79,-0.74182,240.4525
MSFT,2021-02-03,239.57,245.09,239.26,243.0,27158104,3.43,1.43,241.73
MSFT,2021-02-04,242.66,243.24,240.37,242.01,25296100,-0.65,-0.26786,242.07
MSFT,2021-02-05,242.23,243.28,240.42,242.2,18054800,-0.03,-0.01238492,242.0325
MSFT,2021-02-08,243.15,243.68,240.81,242.47,22211929,-0.68,-0.27966,242.5275
MSFT,2021-02-09,241.87,244.76,241.38,243.77,23565000,1.9,0.78555,242.945
MSFT,2021-02-10,245.0,245.92,240.89,242.82,22186706,-2.18,-0.8898,243.6575
MSFT,2021-02-11,244.78,245.15,242.15,244.49,15751100,-0.29,-0.11847,244.1425
MSFT,2021-02-12,243.93,245.3,242.73,244.99,16561100,1.06,0.43455,244.2375
MSFT,2021-02-16,245.03,246.13,242.92,243.7,26728500,-1.33,-0.54279,244.445
MSFT,2021-02-17,241.32,244.31,240.94,244.2,21673109,2.88,1.19,242.6925
MSFT,2021-02-18,241.8,243.93,240.86,243.79,16925600,1.99,0.82299,242.595
MSFT,2021-02-19,243.75,243.86,240.18,240.97,25262600,-2.78,-1.14,242.19
MSFT,2021-02-22,237.42,237.93,232.4,234.51,36446936,-2.91,-1.23,235.565
MSFT,2021-02-23,230.33,234.83,228.73,233.27,30228704,2.95,1.28,231.79
MSFT,2021-02-24,230.01,235.2,229.0,234.55,26339746,4.54,1.97,232.19
MSFT,2021-02-25,232.08,234.59,227.88,228.99,39542235,-3.09,-1.33,230.885
MSFT,2021-02-26,231.53,235.37,229.54,232.38,37819227,0.855,0.36712,232.205
MSFT,2021-03-01,235.9,237.47,233.15,236.94,25332837,1.04,0.44086,235.865
MSFT,2021-03-02,237.01,237.3,233.45,233.87,22812500,-3.14,-1.32,235.4075
MSFT,2021-03-03,232.16,233.58,227.26,227.56,34029526,-4.59,-1.98,230.14
MSFT,2021-03-04,226.74,232.49,224.26,226.73,44727800,-0.005,-0.00441034,227.555
MSFT,2021-03-05,229.52,233.27,226.46,231.6,41872800,2.08,0.90624,230.2125
MSFT,2021-03-08,231.37,233.37,227.13,227.39,35267440,-3.98,-1.72,229.815
MSFT,2021-03-09,232.88,235.38,231.67,233.78,33080531,0.9,0.38647,233.4275
MSFT,2021-03-10,237.0,237.0,232.04,232.42,29746812,-4.58,-1.93,234.615
MSFT,2021-03-11,234.96,239.17,234.31,237.13,29907600,2.17,0.92356,236.3925
MSFT,2021-03-12,234.01,235.82,233.23,235.75,22653700,1.74,0.74356,234.7025
MSFT,2021-03-15,234.96,235.19,231.81,234.81,26042669,-0.15,-0.06384065,234.1925
MSFT,2021-03-16,236.28,240.06,235.94,237.71,28092200,1.43,0.60521,237.4975
MSFT,2021-03-17,236.15,238.55,233.23,237.04,29562100,0.89,0.37688,236.2425
MSFT,2021-03-18,232.56,234.19,230.33,230.72,34852251,-1.84,-0.79119,231.95
MSFT,2021-03-19,231.02,232.47,229.35,230.35,46430730,-0.67,-0.29002,230.7975
MSFT,2021-03-22,230.27,236.9,230.14,235.99,30127005,5.72,2.48,233.325
MSFT,2021-03-23,237.49,241.05,237.07,237.58,31638400,0.095,0.03789633,238.2975
MSFT,2021-03-24,237.85,238.0,235.32,235.46,25620127,-2.38,-1.0,236.6575
MSFT,2021-03-25,235.3,236.94,231.57,232.34,34061900,-2.96,-1.26,234.0375
MSFT,2021-03-26,231.55,236.71,231.55,236.48,25479900,4.93,2.13,234.0725
MSFT,2021-03-29,236.59,236.8,231.88,235.24,25227500,-1.35,-0.57061,235.1275
MSFT,2021-03-30,233.53,233.85,231.1,231.85,24792012,-1.68,-0.71939,232.5825
MSFT,2021-03-31,232.91,239.1,232.39,235.77,43623500,2.86,1.23,235.0425
MSFT,2021-04-01,238.47,242.84,238.05,242.35,30338000,3.88,1.63,240.4275
MSFT,2021-04-05,242.76,249.96,242.7,249.07,36910609,6.31,2.6,246.1225
MSFT,2021-04-06,247.61,249.4,246.88,247.86,22931923,0.25,0.10097,247.9375
MSFT,2021-04-07,247.81,250.93,247.19,249.9,22719835,2.09,0.84339,248.9575
MSFT,2021-04-08,252.77,254.14,252.0,253.25,23625200,0.48,0.1899,253.04
MSFT,2021-04-09,252.87,255.99,252.44,255.85,24326833,2.98,1.18,254.2875
MSFT,2021-04-12,254.71,257.67,254.62,255.91,27148700,1.2,0.47112,255.7275
MSFT,2021-04-13,257.26,259.19,256.83,258.49,23837500,1.23,0.47812,257.9425
MSFT,2021-04-14,257.48,258.83,255.16,255.59,23070938,-1.89,-0.73404,256.765
MSFT,2021-04-15,257.93,259.93,257.73,259.5,25627500,1.57,0.60869,258.7725
MSFT,2021-04-16,259.47,261.0,257.6,260.74,24878600,1.27,0.48946,259.7025
MSFT,2021-04-19,260.19,261.48,257.82,258.74,23209300,-1.45,-0.55729,259.5575
MSFT,2021-04-20,257.82,260.2,256.84,258.26,19722900,0.44,0.17066,258.28
MSFT,2021-04-21,258.94,260.68,257.25,260.58,24030400,1.64,0.63335,259.3625
MSFT,2021-04-22,260.21,261.78,255.64,257.17,25606200,-3.04,-1.17,258.7
MSFT,2021-04-23,257.88,261.51,257.27,261.15,21499286,3.27,1.27,259.4525
MSFT,2021-04-26,261.66,262.44,260.17,261.55,19763346,-0.11,-0.04203929,261.455
MSFT,2021-04-27,261.58,263.19,260.12,261.97,31014213,0.385,0.14909,261.715
MSFT,2021-04-28,256.08,256.54,252.95,254.56,46903119,-1.52,-0.59356,255.0325
MSFT,2021-04-29,255.46,256.1,249.0,252.51,40589023,-2.95,-1.15,253.2675
MSFT,2021-04-30,249.74,253.08,249.6,252.18,30945100,2.44,0.97702,251.15
MSFT,2021-05-03,253.4,254.35,251.12,251.86,19626600,-1.54,-0.60773,252.6825
MSFT,2021-05-04,250.97,251.21,245.76,247.79,32756100,-3.18,-1.27,248.9325
MSFT,2021-05-05,249.06,249.5,245.82,246.47,21901325,-2.59,-1.04,247.7125
MSFT,2021-05-06,246.45,249.86,244.69,249.73,26491100,3.28,1.33,247.6825
MSFT,2021-05-07,252.15,254.3,251.17,252.46,27032912,0.31,0.12294,252.52
MSFT,2021-05-10,250.87,251.73,247.12,247.18,29299900,-3.69,-1.47,249.225
MSFT,2021-05-11,244.55,246.6,242.57,246.23,33641600,1.68,0.68698,244.9875
MSFT,2021-05-12,242.17,244.38,238.07,239.0,36684400,-3.16,-1.31,240.905
MSFT,2021-05-13,241.8,245.6,241.42,243.03,29624300,1.23,0.50868,242.9625
MSFT,2021-05-14,245.58,249.18,245.49,248.15,23901100,2.58,1.05,247.1
MSFT,2021-05-17,246.55,246.59,243.52,245.18,24970200,-1.37,-0.55567,245.46
MSFT,2021-05-18,246.27,246.41,242.9,243.08,20168000,-3.19,-1.3,244.665
MSFT,2021-05-19,239.31,243.23,238.6,243.12,25739807,3.81,1.59,241.065
MSFT,2021-05-20,243.96,247.95,243.86,246.48,21800716,2.52,1.03,245.5625
MSFT,2021-05-21,247.57,248.33,244.74,245.17,21863100,-2.4,-0.96942,246.4525
MSFT,2021-05-24,247.79,251.16,247.51,250.78,21411547,3.0,1.21,249.31
MSFT,2021-05-25,251.77,252.75,250.82,251.72,17704303,-0.049,-0.0198594,251.765
MSFT,2021-05-26,251.43,252.94,250.75,251.49,17771600,0.06,0.0238635,251.6525
MSFT,2021-05-27,251.17,251.48,249.25,249.31,24426244,-1.86,-0.74053,250.3025
MSFT,2021-05-28,251.0,252.08,249.56,249.68,18274942,-1.31,-0.5259,250.58
MSFT,2021-06-01,251.23,251.29,246.96,247.4,23213310,-3.83,-1.52,249.22
MSFT,2021-06-02,248.13,249.27,245.84,247.3,19406705,-0.825,-0.3345,247.635
MSFT,2021-06-03,245.22,246.34,243.0,245.71,25307711,0.49,0.19982,245.0675
MSFT,2021-06-04,247.76,251.65,247.51,250.79,25281100,3.03,1.22,249.4275
MSFT,2021-06-07,249.98,254.09,249.81,253.81,23079200,3.83,1.53,251.9225
MSFT,2021-06-08,255.16,256.01,252.51,252.57,22455000,-2.59,-1.02,254.0625
MSFT,2021-06-09,253.81,255.53,253.21,253.59,17937634,-0.22,-0.08667901,254.035
MSFT,2021-06-10,254.29,257.46,253.67,257.24,24563619,2.95,1.16,255.665
MSFT,2021-06-11,257.99,258.49,256.61,257.89,18999731,-0.095,-0.03876119,257.745
MSFT,2021-06-14,257.9,259.95,256.8,259.89,19150507,1.99,0.77162,258.635
MSFT,2021-06-15,259.77,259.99,257.68,258.36,18038931,-1.41,-0.54279,258.95
MSFT,2021-06-16,259.4,260.58,254.42,257.38,27220000,-2.02,-0.77872,257.945
MSFT,2021-06-17,256.07,261.75,256.01,260.9,27565537,4.83,1.89,258.6825
MSFT,2021-06-18,259.63,262.3,258.75,259.43,37202217,-0.2,-0.0770327,260.0275
MSFT,2021-06-21,259.82,263.52,257.92,262.63,26696119,2.81,1.08,260.9725
MSFT,2021-06-22,262.72,265.79,262.4,265.51,24694100,2.79,1.06,264.105
MSFT,2021-06-23,265.99,266.83,264.43,265.27,19518700,-0.715,-0.27069,265.63
MSFT,2021-06-24,266.16,267.85,265.47,266.69,21446900,0.53,0.19913,266.5425
MSFT,2021-06-25,266.23,267.25,264.76,265.02,25611113,-1.21,-0.45449,265.815
MSFT,2021-06-28,266.19,268.9,265.91,268.72,19590024,2.54,0.95045,267.43
MSFT,2021-06-29,268.87,271.65,267.98,271.4,19937811,2.53,0.94098,269.975
MSFT,2021-06-30,270.69,271.36,269.6,270.9,21656500,0.21,0.07757952,270.6375
MSFT,2021-07-01,269.61,271.84,269.6,271.6,16725323,1.99,0.7381,270.6625
MSFT,2021-07-02,272.82,278.0,272.5,277.65,26474408,4.83,1.77,275.2425
MSFT,2021-07-06,278.03,279.37,274.3,277.66,31565600,-0.37,-0.13308,277.34
MSFT,2021-07-07,279.4,280.69,277.15,279.93,23260031,0.53,0.18969,279.2925
MSFT,2021-07-08,276.9,278.73,274.87,277.42,24618600,0.52,0.18779,276.98
MSFT,2021-07-09,275.72,278.05,275.32,277.94,23916700,2.22,0.80516,276.7575
MSFT,2021-07-12,279.16,279.77,276.58,277.32,18931700,-1.84,-0.65912,278.2075
MSFT,2021-07-13,277.52,282.85,277.39,280.98,26120128,3.46,1.25,279.685
MSFT,2021-07-14,282.35,283.66,280.55,282.51,23113700,0.165,0.05666726,282.2675
MSFT,2021-07-15,282.0,282.51,279.83,281.03,22604227,-0.97,-0.34397,281.3425
MSFT,2021-07-16,282.07,284.1,279.46,280.75,26186848,-1.32,-0.46797,281.595
MSFT,2021-07-19,278.93,280.37,274.45,277.01,32935634,-1.92,-0.68834,277.69
MSFT,2021-07-20,278.03,280.97,276.26,279.32,26259741,1.29,0.46398,278.645
MSFT,2021-07-21,278.9,281.52,277.29,281.4,24364320,2.5,0.89638,279.7775
MSFT,2021-07-22,283.84,286.42,283.42,286.14,23384100,2.3,0.81032,284.955
MSFT,2021-07-23,287.37,289.99,286.5,289.67,22768100,2.3,0.80036,288.3825
MSFT,2021-07-26,289.0,289.69,286.64,289.05,23176100,0.05,0.01730104,288.595
MSFT,2021-07-27,289.43,289.58,282.95,286.54,33604100,-2.89,-0.99851,287.125
MSFT,2021-07-28,288.99,290.15,283.83,286.22,33566900,-2.77,-0.95851,287.2975
MSFT,2021-07-29,286.24,288.62,286.08,286.5,18168300,0.265,0.09083287,286.86
MSFT,2021-07-30,285.17,286.66,283.91,284.91,20944846,-0.26,-0.09117369,285.1625
MSFT,2021-08-02,286.36,286.77,283.74,284.82,16267400,-1.54,-0.53778,285.4225
MSFT,2021-08-03,285.42,287.23,284.0,287.12,17879048,1.7,0.59561,285.9425
MSFT,2021-08-04,286.22,287.59,284.65,286.51,16191301,0.29,0.10132,286.2425
MSFT,2021-08-05,286.88,289.63,286.1,289.52,13900200,2.64,0.92025,288.0325
MSFT,2021-08-06,288.51,289.5,287.62,289.46,16589336,0.955,0.32928,288.7725
MSFT,2021-08-09,289.75,291.55,287.81,288.33,16117629,-1.42,-0.49008,289.36
MSFT,2021-08-10,288.8,289.25,285.2,286.44,18616600,-2.36,-0.81717,287.4225
MSFT,2021-08-11,287.21,288.66,285.86,286.95,13955934,-0.26,-0.0905261,287.17
MSFT,2021-08-12,286.63,289.97,286.34,289.81,14570391,3.18,1.11,288.1875
MSFT,2021-08-13,289.48,292.9,289.3,292.85,18249046,3.37,1.16,291.1325
MSFT,2021-08-16,293.19,294.82,290.02,294.6,22516027,1.41,0.48092,293.1575
MSFT,2021-08-17,292.39,293.43,291.08,293.08,20075300,0.69,0.23599,292.495
MSFT,2021-08-18,292.04,294.82,290.27,290.73,21813000,-1.31,-0.44857,291.965
MSFT,2021-08-19,288.69,297.47,288.64,296.77,29850500,8.08,2.8,292.8925
MSFT,2021-08-20,299.72,305.84,298.06,304.36,40817646,4.64,1.55,301.995
MSFT,2021-08-23,303.25,305.4,301.85,304.65,22830200,1.4,0.46167,303.7875
MSFT,2021-08-24,305.02,305.65,302.0,302.62,18175800,-2.4,-0.78683,303.8225
MSFT,2021-08-25,304.3,304.59,300.42,302.01,20006100,-2.29,-0.75255,302.83
MSFT,2021-08-26,300.99,302.43,298.95,299.09,17666100,-1.9,-0.63125,300.365
MSFT,2021-08-27,298.99,300.87,296.83,299.72,22605726,0.733,0.24416,299.1025
MSFT,2021-08-30,301.12,304.22,301.06,303.59,16348100,2.47,0.82027,302.4975
MSFT,2021-08-31,304.42,304.5,301.5,301.88,26285338,-2.54,-0.83437,303.075
MSFT,2021-09-01,302.87,305.19,301.49,301.83,18983826,-1.04,-0.34338,302.845
MSFT,2021-09-02,302.2,303.36,300.18,301.15,16290545,-1.05,-0.34745,301.7225
MSFT,2021-09-03,300.99,302.6,300.26,301.14,14751610,0.15,0.04983554,301.2475
MSFT,2021-09-07,301.01,301.09,298.2,300.18,17184083,-0.825,-0.27574,300.12
MSFT,2021-09-08,299.78,300.61,297.47,300.21,15046819,0.43,0.14344,299.5175
MSFT,2021-09-09,300.82,302.14,297.0,297.25,19927000,-3.57,-1.19,299.3025
MSFT,2021-09-10,298.42,299.92,295.38,295.71,19633400,-2.71,-0.90812,297.3575
MSFT,2021-09-13,297.55,298.54,294.08,296.99,23652949,-0.56,-0.1882,296.79
MSFT,2021-09-14,299.56,301.39,298.1,299.79,21853433,0.23,0.07677928,299.71
MSFT,2021-09-15,303.26,305.32,301.82,304.82,28356304,1.56,0.51441,303.805
